VOLTAJE,CORRIENTE,POTENCIA ACTIVA,FACTOR DE POTENCIA,POTENCIA APARENTE
116.23558,16.108891,1811.32605,0.967368,1872.42627
116.025139,16.03026,1799.160889,0.967336,1859.913208
116.208237,16.072489,1807.78418,0.967891,1867.755615
116.160858,16.098783,1808.659302,0.967172,1870.048462
116.249542,16.133379,1815.094604,0.967793,1875.497925
116.028427,16.129351,1811.127563,0.96776,1871.463135
116.267189,16.071533,1807.5896,0.967354,1868.592041
115.976273,15.982692,1791.692749,0.966595,1853.613037
116.373322,16.061186,1808.247803,0.967446,1869.093506
116.598625,16.121416,1816.711548,0.966472,1879.734985
116.363945,16.096584,1809.734619,0.96619,1873.062012
116.448563,16.118702,1816.579712,0.96781,1876.999634
116.410301,16.097515,1813.756836,0.967896,1873.916626
116.446266,16.05232,1808.489014,0.967503,1869.232788
116.349144,16.033485,1804.588623,0.967358,1865.4823
116.199539,16.057434,1804.797974,0.967271,1865.866455
116.222458,16.150801,1816.585815,0.967769,1877.085815
116.478767,16.113903,1816.495728,0.967803,1876.927612
116.110153,16.067476,1806.549072,0.968349,1865.597168
116.272003,16.047819,1805.58728,0.96767,1865.912109
116.240181,16.028404,1803.652954,0.968069,1863.144653
116.212151,16.022335,1803.08252,0.968363,1861.98999
116.181786,16.034237,1802.917358,0.967809,1862.88623
116.122253,16.034882,1802.484009,0.968033,1862.006592
116.150307,16.027283,1802.060425,0.968031,1861.573853
116.198891,16.13554,1816.377563,0.96877,1874.931885
116.085899,16.10261,1810.116577,0.968347,1869.285889
116.228569,16.079792,1809.18103,0.96803,1868.931274
116.131981,16.069065,1805.991699,0.967773,1866.132324
116.068947,16.044199,1802.762207,0.968065,1862.233276
116.12249,16.08111,1808.160645,0.968288,1867.37854
116.072998,16.107304,1810.359375,0.968302,1869.623047
116.676926,10.247458,1158.266479,0.96874,1195.641846
116.5317,10.128721,1145.223999,0.970268,1180.317139
116.568146,10.184454,1150.705322,0.969274,1187.182861
116.492073,10.112435,1142.205566,0.969599,1178.018555
116.600334,10.14525,1147.098389,0.969702,1182.939575
116.501259,10.141065,1145.228882,0.969344,1181.446777
116.559746,10.137232,1146.021729,0.969895,1181.59314
116.495842,10.151535,1146.428467,0.969404,1182.611572
116.531494,10.182941,1150.516235,0.969563,1186.633423
116.544136,10.104033,1142.852295,0.970521,1177.565796
116.544136,10.182641,1150.313965,0.969316,1186.727051
116.927727,10.159125,1152.390137,0.970121,1187.883423
116.555519,10.173347,1148.999756,0.968999,1185.759766
116.778908,10.145708,1149.59375,0.970281,1184.804688
116.620888,10.136436,1146.150391,0.969572,1182.120239
116.671127,10.088766,1142.051025,0.970251,1177.067749
116.534256,10.132194,1145.292236,0.969972,1180.747681
116.660698,10.114189,1145.008911,0.970405,1179.928345
116.479652,10.130927,1143.991333,0.969446,1180.046875
116.575157,10.164746,1148.78894,0.969477,1184.956909
116.569695,10.156947,1147.751099,0.969391,1183.992188
116.596413,10.204025,1153.467163,0.969502,1189.752686
116.133331,16.301712,1838.142822,0.970933,1893.172119
116.085884,16.106775,1810.972168,0.968554,1869.769287
